"underregulated_genes","X","X.1","X.2","X.3","X.4","external_gene_name"
"ENSG00000196228",10,NA,NA,NA,NA,"SULT1C3"
"ENSG00000196296",48,NA,NA,NA,NA,"ATP2A1"
"ENSG00000197893",7,NA,NA,NA,NA,"NRAP"
"ENSG00000198650",161,NA,NA,NA,NA,"TAT"
"ENSG00000203858",34,NA,NA,NA,NA,"HSD3BP2"
"ENSG00000204460",123,NA,NA,NA,NA,"LINC01854"
"ENSG00000205678",35,NA,NA,NA,NA,"TECRL"
"ENSG00000205754",187,NA,NA,NA,NA,"SLCO1B7"
"ENSG00000214097",80,NA,NA,NA,NA,"SMCO1"
"ENSG00000226094",365,NA,NA,NA,NA,"RPL7P3"
"ENSG00000226482",218,NA,NA,NA,NA,"ADIPOQ-AS1"
"ENSG00000236208",116,NA,NA,NA,NA,"C10orf71-AS1"
"ENSG00000236333",126,NA,NA,NA,NA,"TRHDE-AS1"
"ENSG00000239474",42,NA,NA,NA,NA,"KLHL41"
"ENSG00000240045",13,NA,NA,NA,NA,"STRIT1"
"ENSG00000248746",20,NA,NA,NA,NA,"ACTN3"
"ENSG00000250538",150,NA,NA,NA,NA,"NPY2R-AS1"
"ENSG00000251325",530,NA,NA,NA,NA,""
"ENSG00000257046",172,NA,NA,NA,NA,"SLCO1B3-SLCO1B7"
"ENSG00000260746",115,NA,NA,NA,NA,"KIF18BP1"
"ENSG00000265142",118,NA,NA,NA,NA,"MIR133A1HG"
"ENSG00000265751",177,NA,NA,NA,NA,""
"ENSG00000267603",278,NA,NA,NA,NA,"LINC01028"
"ENSG00000273540",44,NA,NA,NA,NA,"AGBL1"
"ENSG00000277737",171,NA,NA,NA,NA,""
"ENSG00000278445",333,NA,NA,NA,NA,""
"ENSG00000280323",196,NA,NA,NA,NA,""
"ENSG00000286322",184,NA,NA,NA,NA,""
"ENSG00000286452",204,NA,NA,NA,NA,""
"ENSG00000286523",349,NA,NA,NA,NA,""
